name,price
教孩子学编程+趣学Python+父与子的编程之旅 全3册 教孩子编程的图书 python,130.90
数据科学导论：Python语言实现（原书第2版）,48.70
包邮 Python深度学习 Keras之父 深度学习技术书籍,85.80
【RY】正版 Python数据分析 第二2版 Python 数据科学教程书 数据分析 Python机,46.90
深入浅出Python机器学习,49.40
包邮 Python程序员面试算法宝典+百面机器学习 算法工程师带你去面试书籍 2本,109.60
Python Qt GUI快速编程——PyQt编程指南 (英)Mark Summerfie,72.80
(正版特价)程序设计导论：Python语言实践（英文版） 计算机与互联网…|228056,55.60
Python编程快速上手 让繁琐工作自动化,50.00
Python核心编程 第3版(第3版),76.20
软件架构：Python语言实现,64.20
Python数据分析：基于Plotly的动态可视化绘图,66.20
Head First Python(中文版)第二版 python从入门到实践 python编程,76.00
Python与数据挖掘,38.10
Python编程快速上手--让繁琐工作自动化,54.24
Python语言在Abaqus中的应用（附CD-ROM光盘1张）,39.60
Python自然语言处理,65.20
Python机器学习实践:测试驱动的开发方法,39.50
Python高手之路(第3版),40.70
Python编程-从入门到实践 从基本概念到完整项目开发 机器学习 数据处理 编程语言程序设计,57.80
Python自动化运维：技术与最佳实践,53.60
Python深度学习,86.30
Python语言及其应用,62.30
PYTHON基础教程(第三版),70.80
正版现货 数据结构与算法：Python语言实现/数据库算法/python语言计算机书|1016124,76.30
Python 并行编程手册,49.40
Python编程 从入门到实践 python核心编程基础教程书籍 从入门到精通,65.00
人民邮电：Python编程从入门到实践,62.00
Python机器学习实践,44.80
数据科学实战手册 R+Python,46.60
Python 3.7从零开始学 笨方法学python编程快速上手从入门到精通 语言程序设计基础教程,58.50
基于Python的大数据分析基础及实战,55.80
Python零基础入门学习-水木书荟,35.40
Python数据分析与挖掘实战,55.50
利用Python进行数据分析,79.10
流畅的Python,98.00
从Python开始学编程,41.00
Python数字信号处理应用,37.70
包邮 【扫码看视频】笨办法学python3+Python核心编程(第3版) 基础编程从入门到实践2本,116.80
Python爬虫开发与项目实战,62.40
核心编程第3版+编程快速上手 +Python（第3版）+数据分析实战【4本】,264.00
【R】用Python写网络爬虫 第2版,33.81
流畅的Python+Python大战机器学习+网络爬虫实战+Python机器学习 5本,310.00
Python 3.7从零开始学 全程视频教学 兄弟连教育组织编写书籍,54.60
Python与量化投资,72.80
Python可以这样学,55.20
Python3网络爬虫开发实战崔庆才 Scrapy数据分析处理手册数据抓取指南 计算机编程语言 默认47,62.00
Python设计模式 第2版,30.70
包邮 Python自然语言处理实战：核心技术与算法|8004503,48.30
Python 3程序开发指南（第2版 修订版）,54.40
【R】预售 Python 3网络爬虫开发实战 崔庆才Scrapy数据分析处理手册 数据抓取,71.35
包邮Python测试之道+自动化平台测试开发：Python测试开发实战,88.00
编程超有趣 奇妙Python轻松学 第1辑 超级简单的基础知识,51.10
Selenium 2自动化测试实战 基于Python语言,46.60
Flask Web开发 基于Python的Web应用开发实战 第2版,54.40
从零开始学Python网络爬虫,45.80
你也能看得懂的Python算法书,47.10
Python编程从入门到实践python3.0绝技核心编程基础教程网络爬虫入门书籍,52.80
Python游戏编程入门+C++游戏编程入门+游戏编程入门 全3册 游戏编程入门书籍,123.50
Python编程快速上手 让繁琐工作自动化,69.00
数据结构与算法 Python语言实现,86.70
包邮 Python数据可视化之matplotlib实践+Python数据可视化编程实战 第2二版,95.00
Python绝技：运用Python成为顶级黑客,55.80
Python算法教程,48.80
NLTK基础教程 用NLTK和Python库构建机器学习应用,41.00
笨办法学Python3 编程从入门到实践教程书 代码基于Python3.6基础教程自学书,46.00
Python 3 面向对象编程(第2版) (加)Dusty Phillips(达斯帝·菲利,77.80
C++ Primer Plus(第6版)(中文版) 赠送视频学习课程 计算机语言程序从入门到精深书籍,65.80
包邮现货Effective Python：编写高质量Python代码的59个有效方法|4912460,41.30
Python游戏编程快速上手 第4版,54.40
Python数据分析与挖掘实战 计算机与互联网 书籍|4894338,47.50
【R】Python程序设计基础教程 慕课版 大学教材,27.07
零起点Python足彩大数据与机器学习实盘分析,82.90
零基础入门学习Python 小甲鱼计算机/网络 从入门到实践学习程序设计 零基础学编程基础学习教程,33.80
Python高性能编程,62.30
Python机器学习,61.30
零起点Python大数据与量化交易,88.10
Python 深度学习实战：75个有关神经网络建模、强化学习与迁移学习的解决方案,61.30
Python Qt GUI快速编程：PyQt编程指南,62.30
Python数据分析从入门到精通,61.40
Python 3.5从零开始学,47.20
Python编程 从入门到实践 [美]埃里克·马瑟斯(Eric Matthes) 人民邮电,67.80
Python编程(第4版),145.50
Python云原生：构建应对海量用户数据的高可扩展Web应用,79.20
华章程序员书库·Python编程实战：运用设计模式、并发和程序库创建高质量程序,54.20
Python 3标准库,167.20
Head First Python（第二版）,90.40
Python Cookbook（第3版）中文版,76.20
Python自然语言处理,62.80
Python深度学习,97.20
Python应用开发实战,66.20
包邮 Python基础教程 第3版 图灵程序设计丛书 编程新手入门 软件工具 python,73.20
Python 金融大数据分析 python3爬虫数据分析 入门基础教程 金融分析处理与开发书籍 数学,69.50
包邮 Python程序员面试算法宝典+剑指Offer 名企面试官精讲典型编程题书籍 2本,94.60
程序设计导论：Python语言实践（英文版）,109.20
PYTHON核心编程(第2版),65.90
Python爬虫开发与项目实战,61.30
零起点Python机器学习快速入门,49.40
零基础入门学习Python 实用·好玩·参与 程序设计核心编程学习手册,35.00
Python计算机视觉编程,54.40
