name,price
Python3网络爬虫开发实战崔庆才 Scrapy数据分析处理手册数据抓取指南 计算机编程语言 默认47,62.00
包邮 Python网络爬虫从入门到实践/计算机网络爬虫基础入门到精通/书籍|6558042,34.30
和孩子一起玩编程 少儿趣味编程 零基础编程入门自学教程 Python儿童编程书籍 STEM编程课程书,51.00
Python程序员面试算法宝典,53.60
程序员学Python,70.20
Python带我起飞 入门、进阶、商业实战,70.30
【虎彩 按需出版】Python高级编程 {法}Tarek Ziade 著 人民邮电出版社,67.50
Python编程快速上手 让繁琐工作自动化,56.40
Python神经网络编程,56.40
Python 3网络爬虫开发实战,80.90
笨办法 学Python 3 基础编程  自学教材书  从入门到实践 编程语言书籍,35.30
Python网络数据采集,42.80
Python与量化投资：从基础到实战,77.90
包邮 学习OpenCV3 中文版+深度学习与计算机视觉+Python计算机视觉编程+Python语言,256.60
Python 3.0科学计算指南,51.10
Python数据分析：基于Plotly的动态可视化绘图,66.20
包邮现货Effective Python：编写高质量Python代码的59个有效方法|4912460,41.30
教孩子学编程+趣学Python+父与子的编程之旅 全3册 教孩子编程的图书 python,130.90
包邮 Python深度学习 Keras之父 深度学习技术书籍,85.80
正版包邮 Python编程 从入门到实践 基本教程到完整项目开发爬虫学习数据分析处理 语言程序设计p,59.00
利用Python进行数据分析（原书第2版）,88.70
Python语言及其应用,62.30
python编程 从入门到实践 零基础学python3.5 pathon核心技术网络爬虫书籍,78.00
Python基础教程 第3版Python简明教程书籍 Python编程从入门到实践 灵程序设计丛书,81.20
Python网络编程(第3版),58.50
O'Reilly：Python学习手册（第4版）,82.80
Python从菜鸟到高手,106.10
Python数据处理 爬虫抓取数据清洗与分析方法,70.70
Python机器学习 5个数据科学家案例解析,40.30
[按需印刷]编写高质量代码：改善Python程序的91个建议 计算机与互…|3770256,59.00
Python编程快速上手 让繁琐工作自动化,50.00
Python数据科学：技术详解与商业实践 计算机与互联网 书籍|8049590,69.30
Python数据分析与挖掘实战 计算机与互联网 书籍|4894338,47.50
从零开始学Python数据分析（视频教学版）,54.50
面向ArcGIS的Python脚本编程,41.00
包邮 Python数据可视化之matplotlib实践+Python数据可视化编程实战 第2二版,95.00
包邮 【扫码看视频】笨办法学python3+Python核心编程(第3版) 基础编程从入门到实践2本,116.80
Python数据可视化编程实战 第2版,54.40
PYTHON基础教程(第三版),70.80
Python深度学习,86.30
数据结构 Python语言描述,48.80
基于Python的大数据分析基础及实战,55.80
Python编程从入门到精通 Python基础教程,48.80
Python贝叶斯分析,51.10
Python学习手册,88.70
Python编程从入门到精通 零基础学编程基础教程核心编程图书 网络编程web开发大数据,57.70
Python编程入门 全3册 Python编程从入门到实践 零基础入门学习 基础教程,160.90
包邮 利用Python进行数据分析|3768783,62.30
Python物理学高效计算,78.20
Python密码学编程,51.10
Python极客项目编程,54.50
NLTK基础教程 用NLTK和Python库构建机器学习应用,41.00
Python微控制器编程从零开始 使用MicroPython,40.30
数据科学导论：Python语言实现（原书第2版）,48.70
Python+Spark 2.0+Hadoop机器学习与大数据实战,79.20
Python 并行编程手册,49.40
Python大战机器学习：数据科学家的第一个小目标,61.40
Python零基础入门学习-水木书荟,35.40
利用Python进行数据分析,79.10
Python数据分析与挖掘实战,55.50
Python数据分析基础,73.90
现货  Python编程 从入门到实践    Python入门书籍  python3,58.90
Flask Web开发:基于Python的Web应用开发实战 第2版,51.10
包邮 量化投资 以Python为工具 Python语言处理 数据Python金融 量化投资,65.80
基于Python的大数据分析基础及实战 Python编程,38.40
Python贝叶斯分析,54.40
Python基础教程(第3版) [挪]芒努斯·利·海特兰德(Magnus Lie Hetl,73.90
软件架构：Python语言实现,64.20
树莓派Python编程入门与实战（第2版）,54.50
Python基础教程(第2版)(修订版) 零基础入门学习Python 编程语言与程序设计 新华正版书,64.20
Python：统计人的视角/统计数据分析与应用丛书,27.00
Python Qt GUI快速编程：PyQt编程指南,62.30
精通Python网络爬虫：核心技术、框架与项目实战,53.60
正版现货 数据结构与算法：Python语言实现/数据库算法/python语言计算机书|1016124,76.30
Head First Python（第二版）,90.40
Python绝技：运用Python成为顶级黑客,55.80
流畅的Python,98.00
Python算法教程,48.80
笨办法学Python 3,44.80
PYTHON数据科学手册（影印版 英文版）,87.80
Python编程 从入门到实践 [美]埃里克·马瑟斯(Eric Matthes) 9787,51.62
青少年学Python,58.50
【R】Python程序设计基础教程 慕课版 大学教材,27.07
Python深度学习实战,60.00
Python基础实例教程 微课版 微课版Python基础 案例简单丰富 讲解鞭辟入里,39.80
Python语言程序设计,62.40
Python数字信号处理应用,37.70
Python游戏编程入门+C++游戏编程入门+游戏编程入门 全3册 游戏编程入门书籍,123.50
Python 3标准库,167.20
Python自然语言处理,62.80
码农翻身：用故事给技术加点料,57.80
Python Cookbook（第3版）中文版,76.20
Python机器学习 第2版（影印版）,94.20
Python数据科学导论：概念、技术与应用,48.70
包邮 python 3标准库 计算机软件工具程序设计书籍,148.80
包邮 数据结构与算法：Python语言描述/Python书籍结构算法/计算机教材|4909472,31.50
Python编程之美：最佳实践指南,66.50
OpenCV3计算机视觉Python语言实现（原书第2版）人脸检测与识别,36.60
Python与量化投资：从基础到实战,78.30
Python深度学习,97.20
零起点Python大数据与量化交易 何海群 电子工业出版社,76.80
玩转Python网络爬虫,55.20
趣学Python 教孩子学编程 中小学生儿童计算机语言编程入门教程书籍零基础学python计算,37.76
图解数据结构使用Python,58.50
Python应用开发实战,66.20
Python Cookbook（中文版 第3版）,78.80
包邮PySpark实战指南 利用Python和Spark+Apache Spark机器学习,80.80
PYTHON高性能(第2版),43.70
【R】图灵教育 Python基础教程 第3版 Python入门版,69.90
【新版】Python程序设计第3版  Python3 爬虫Python核心编程基础教程,69.00
Python从菜鸟到高手,105.60
正版 从零开始学Python数据分析与挖掘 刘顺祥,53.50
青少年学Python 儿童编程入门教程书籍 代码基于python3.6核心编程,53.80
包邮PyQt5快速开发与实战+Python Qt GUI快速编程—PyQt编程指南,129.80
Python程序设计开发宝典 Python开发 零基础手把手教你学python编程的入门书 核心编程,44.17
自学Python 编程基础、科学计算及数据分析,62.40
O'Reilly：Python学习手册（第4版）,95.20
父与子的编程之旅 与小卡特一起学Python 中小学生编程 python编程入门教程 Python语,58.20
包邮 从零开始学Python数据分析与挖掘书籍 Python 3版本作为数据分析与挖掘实战的应用工具,57.30
Python并行编程参考手册（影印版）,53.60
自动化平台测试开发-Python测试开发实战,58.70
Python金融数据分析 计算机与互联网 书籍|7551705,48.30
Python 3网络爬虫开发实战 崔庆才 9787115480347,57.42
教孩子学编程Python语言版 少儿趣味编程 少儿游戏编程 青少年兴趣编程 Python,26.80
机器学习实战 peter harrington著 python机器概念书籍 计算机电脑程序,48.30
Python文本分析 计算机与互联网 书籍|7836736,55.30
OpenCV 3计算机视觉 Python语言实现 原书第2版 计算机教材教程书籍 人脸检测与识别 图,33.10
包邮Python物理建模初学者指南+Python物理学高效计算+物理建模初学者指南,192.80
Python爬虫开发与项目实战,62.40
Python编程快速上手 让繁琐工作自动化  Python3编程从入门到实践 编程语言与程序设计书籍,48.00
Python数据分析与数据化运营,75.20
量化投资(以Python为工具)/金融科技丛书,69.30
PYTHON基础教程(第3版),80.19
Python数据分析实战,46.60
Head First Python(中文版第2版),89.69
Python数据处理（影印版 英文版）,78.00
Python语言及其应用书籍,56.80
Python 语言构建机器学习系统 第2版（影印版）,55.30
包邮 Python编程之美 最佳实践指南 Python基础教程书籍流畅的Python 深入学习,62.60
Python高效开发实战：Django、Tornado、Flask、Twisted,79.20
Python数据分析 第2版（影印版）,71.00
利用Python进行数据分析(原书第2版),96.70
新华书店正版 父与子的编程之旅：与小卡特一起学Python 人民邮电出版社 计算机与互联网 书,46.90
【R】 数据结构 Python语言描述 大学教材,49.00
Python 3网络爬虫开发实战 Python 3网络爬虫开发实战 python语言编程教,71.20
正版 Python编程从零基础到项目实战 微课视频版 刘瑜 Python基础教程第3版P,67.20
Python地理数据处理,58.80
Python网络爬虫实例教程（视频讲解版）,40.70
Python参考手册+数据抓取技术与实战+开发实战+Python Qt GUI快速编程,257.60
Python高效开发实战+Python Web开发实战+Flask Web开发-基于Pyt,189.00
(正版特价)量化交易之路：用Python做股票量化分析 计算机与互联网 …|230782,44.50
Python3面向对象编程(第2版),74.30
Python高手之路,36.30
教孩子学编程+父与子的编程之旅:与小卡特一起学PythonPython语言版python y,95.60
深度学习入门 基于Python的理论与实现,48.20
Python数据挖掘入门与实践,42.80
人民邮电：PythonCookbook（第3版）中文版,75.00
现货2本 Python神经网络编程+精通数据科学：从线性回归到深度学习 深度学习人工智能,126.00
正版 Python 3网络爬虫开发实战 崔庆才Scrapy数据分析处理手册 python3网络爬虫,69.00
Python与机器学习实战:决策树、集成学习、支持向量机与神经网络算法详解及编程实现 何宇,40.02
Python编程与问题求解/国外计算机科学经典教材,50.80
数据科学导论：Python语言实现,40.40
Python：统计人的视角/统计数据分析与应用丛书,33.20
Python 黑帽子：黑客与渗透测试编程之道,43.40
Python编程从入门到实践+Python基础教程（第3版）（套装共2册）,118.40
Python 3.7从零开始学,64.00
包邮BBCmicro bit官方学习指南+micro bit 入门指南 Python青少年编程书,87.80
包邮 ython语言网络数据采集教程+Python绝技：运用Python成为黑客,103.00
跟老齐学Python：Django实战,51.10
Python与量化投资 从基础到实战 Python软件基础知识 Python量化策略 Pyth,63.36
跟老齐学Python：Django实战 齐伟 Django开发实战教程书籍,47.60
包邮 Python地理空间分析指南+基于ArcGIS的Python编程 教你如何完成地理信息处理,108.80
现货  “笨办法”学Python（第3版 附光盘1张） Python入门书籍,38.50
Python核心编程（第3版）,99.00
正版 像计算机科学家一样思考Python 第2版 [美] 艾伦 B. 唐尼(Allen B,39.60
Python自然语言处理 [美]Steven Bird Ewan Klein Edward,51.62
Python编程从入门到实践 python3.0 绝技核心编程基础视频教程网络爬虫,76.70
图灵教育 包邮 Python基础教程 第3版 Python入门版,72.20
Python数据科学入门,38.70
机器人系统设计与制作：Python语言实现+ROS机器人程序设计（原书第2版）2本,96.00
机器人Python极客编程入门与实战,49.40
Python数据分析：基于Plotly的动态可视化绘图 孙洋洋  等 电子工业出版社,62.80
包邮 Python从菜鸟到高手+Python编程 从入门到实践 2本 python编程书,157.60
Python基础教程（第3版）,99.00
包邮 Python自动化运维：技术与最佳实践|3804188,48.30
用Python写网络爬虫（第二版）,33.80
我的Python世界 玩《Minecraft 我的世界学Python编程书+树莓派实战全攻略书籍,141.80
包邮 Python学习手册（原书第5版）上下册2本/计算机编程设计书籍|8053406,153.30
Python学习手册 第4版 Python基础教程运维实践 核心编程基础教程网络爬虫入门书籍pyth,79.10
零基础学Python（图文版）,57.80
Effective Python  9787111523550  机械工业出版社,45.14
Python网络编程攻略 (英) M. O. Faruque Sarker著 人民邮电出版,36.40
Python网络编程 Linux 选用系统运维 容易入门的Python语言 Lin,31.40
趣学Python 教孩子学编程 儿童编程入门教程书籍 笨办法学 python核心编程 零基础学,34.80
正版Abaqus GUI程序开发指南 Python语言+ABAQUS Python二次开发攻略,99.00
Python 3 数据分析与机器学习实战,50.30
Python编程(第四版)9787512355309,128.70
包邮 Python机器学习算法+深入浅出深度学习：原理剖析与Python实践,110.90
Python编程从入门到实践+流畅的Python 组套装,166.40
Python数据分析与挖掘实战/大数据技术丛书,56.60
包邮 Python游戏编程入门 +Python游戏编程快速上手 第4版 2本,89.00
包邮 Python编程从入门到精通 叶维忠 著 python语言编程教程书籍 人民邮电出版社,58.60
和孩子一起玩编程 中小学编程入门书 趣学python编程入门零基础教孩子学编程的书 少儿小学生儿童趣,50.00
Python数据分析实战,65.20
Python机器学习入门（影印版 英文版）,63.00
(正版特价)精通Python网络爬虫：核心技术、框架与项目实战 计算机与…|230066,27.60
Python数据可视化编程实战 *2版 数据分析处理教程 数据科学 matplotlib,50.40
Python网络数据爬取及分析从入门到精通（分析篇）,50.10
【Python基础教程】Python网络编程第3版 Python3爬虫数据分析编程理解技术 Pyth,53.40
Python网络爬虫实例教程 视频讲解版,36.90
趣学Python编程 Jason Briggs 编程语言,35.10
Python与量化投资,82.20
包邮Python从菜鸟到高手+零基础入门学习Python Python3零基础入门自学教程书籍,132.80
包邮 PySpark实战指南：利用Python和Spark构建数据密集型|6877019,34.30
Python新手使用Django架站的16堂课,71.20
Python 程序设计基础实战教程,36.00
Python Cookbook(中文版 第3版) 计算机与互联网  初中级Python程序员晋级书籍,87.80
Python 3网络爬虫开发实战+Python数据分析 基于Plotly的动态可视化绘图,133.50
现货包邮Python深度学习 deep learning with python中文版人工智能机器学,89.80
Python测试驱动开发（影印版 英文版）,72.30
跟老齐学Python：Django实战,51.10
Python基础实例教程（微课版）,40.70
Python快速编程入门 传智播客 黑马程序员 python编程从入门到实践基础视频教程核心编程爬虫,43.25
教孩子学编程(Python语言版全彩印刷),46.43
Python网络爬虫实例教程（视频讲解版）书籍,35.60
自动化平台测试开发：Python测试开发实战,54.40
算法图解,40.00
跟老齐学Python：Django实战,61.40
Python基础教程 第3版Python简明教程书籍 Python编程从入门到实践 灵程序设计丛书,69.60
Python程序设计 第3版,54.50
【现货】Python 3.0科学计算指南 Python3.0教程书籍,48.80
Python测试驱动开发 使用Django Selenium和JavaScript进行Web编,86.00
Python Cookbook 第三版 中文版 第3版,77.10
Python基础教程第3版+数据结构 Python语言描述+Python算法教程(,176.70
官方正版 Python数据可视化之matplotlib实践 数据分析入门实战 python程序设计书,43.70
PyQt5快速开发与实战+Python Qt GUI快速编程—PyQt编程指南 2本,126.80
包邮基于ArcGIS的Python编程秘笈第2版+面向ArcGIS的Python脚本编程,89.00
学习编程第一步 零基础上手Python开发,63.80
Python编程从入门到实践+用Python写网络爬虫 第2版 组套装,100.70
正版 Pythan爬虫开发 从入门到实战（微课版） 计算机网络 程序设计 Python,35.90
图解算法 使用Python,36.50
机器人系统设计与制作：Python语言实现,48.70
区域包邮Selenium2自动化测试实战:基于Python语言+精通自动化测试框架设计,88.20
Python数据分析（影印版）,55.30
Python全栈开发实践入门 python全栈开发教程书籍 python全栈开发工程师前端后端开发测,69.00
Python从入门到精通  python编程从入门到实践书籍零基础入门学习从入门到精通python语,79.80
包邮 编程导论 以Python为舟 Python语言编程入门教程书籍 python3核心编程基础教程,53.80
Python数据分析入门 从数据获取到可视化 机器学习算法建模编程书  python数据处理 正版,43.10
正版包邮 Python编程 从入门到实践 基本教程到完整项目开发爬虫学习数据分析处理 语言程序设计p,56.00
Python网络爬虫实战(第2版),60.00
和孩子一起玩编程+编程真好玩 套装 趣学python 少儿编程真好玩 中小学编程入门书籍,110.20
跟老齐学Python 轻松入门 齐伟Python入门书籍 python核心编程技术python语言编,43.70
Python学习从入门到实践+Python机器学习及实践从零开始通往Kaggle竞赛之路,65.00
现货  “笨办法”学Python（第3版 附光盘1张） Python入门书籍,38.50
毫无障碍学Python编程从入门到实践python3.0绝技核心编程教程网络爬虫入门书籍,42.50
包邮从零开始学Python程序设计 适用于Python3.5版本以上 网络爬虫教程书,59.00
正版  Python 3.7 从零开始学  计算机 互联网 程序设计 编程语言 Pyth,60.20
【正版包邮】利用Python进行数据分析(美)麦金尼著 python基础教程/python数据分析,56.90
机器学习实战,56.40
Python数据分析 第2版,54.40
Python袖珍指南（第5版）,30.00
量化投资：以Python为工具,69.90
Python数据分析基础 [美]克林顿布朗利(Clinton W. Brownley) 9,40.02
编写高质量代码 改善Python程序的91个建议 张颖  Python学习手册 pytho,56.03
2本 正版 Python文本分析+精通Python自然语言处理 2本 NLP数据文本挖掘处理技术书,102.00
我的Python世界 玩minecraft我的世界 学Python编程 青少年Python编程教程书,40.70
Python Qt GUI快速编程——PyQt编程指南 (英)Mark Summerfie,72.80
(正版特价)程序设计导论：Python语言实践（英文版） 计算机与互联网…|228056,55.60
Python编程从入门到精通 零基础学编程基础教程核心编程图书 网络编程web开发大数据,57.70
Python科学计算基础教程,38.70
官方正版 Python数据可视化之matplotlib实践 数据分析入门实战 python程序设计书,43.70
包邮 图解算法 使用Python+图解数据结构 使用Python书籍 2本 吴灿铭,92.60
现货  赠教学视频2500分钟 python从小白到大牛 300个示例源代码,66.80
Python网络爬虫实战（第2版）,58.50
父与子的编程之旅 与小卡特一起学Python 中小学生编程 python编程入门教程 Python语,58.20
Python机器学习实践指南,50.00
电子工业：OpenCV算法精解：基于Python与C++,59.25
Python程序设计基础实战教程 python基础教程 编程基础 编程从入门到实践 爬虫 数据分析,34.20
Python程序设计教程 林信良 9787302457862,34.22
HEAD FIRT PYTHON(第2版),90.90
Python爬虫开发与项目实战,55.00
深度学习之PyTorch实战计算机视觉 PyTorch框架架构开发教程 Python编程技能教,58.50
Python全栈开发实践入门 python全栈开发教程书籍 python全栈开发工程师前端,54.50
Python Linux系统管理与自动化运维,69.10
Python学习手册（套装上下册）（原书第5版）,175.20
Python游戏编程入门,38.60
【北京发货】Python科学计算基础教程 印 赫曼塔 库玛 梅赫塔 Hemant Kuma,41.80
Python测试驱动开发 第2版 Django Selenium和JavaScri,87.00
现货Python绝技：运用Python成为数据工程师+Python数据分析与数据化运营 共3本,170.80
Python爬虫开发与项目实战,62.40
核心编程第3版+编程快速上手 +Python（第3版）+数据分析实战【4本】,264.00
【R】用Python写网络爬虫 第2版,33.81
人邮新书 Python数据科学手册 数据分析计算书籍 机器学习 NumPy数据存储 Ma,81.20
3本 精通Python爬虫框架Scrapy+用Python写网络爬虫+Python3网络爬虫开发实战,147.90
PyQt5快速开发与实战,88.10
Python袖珍指南(第5版),28.50
包邮 Python 3网络爬虫开发实战+Python数据分析入门+Python 3爬虫、数据清洗3本,140.60
Python机器学习实践指南,53.10
OpenCV算法精解：基于Python与C++ OpenCV入门教程书籍,51.50
Python树莓派编程,37.20
Python基础教程第3版+Python算法教程 组套装,122.60
包邮玩转Django 2.0 +跟老齐学Python Django实战 Django开发实战教程书籍,99.00
Python数据可视化编程实战 *2版 数据分析处理教程 数据科学 matplotlib,55.20
【现货】Python 3.0科学计算指南 Python3.0教程书籍,48.80
利用Python进行数据分析（原书第2版）,119.00
Python3学习笔记(上卷),56.07
贝叶斯思维 统计建模的Python学习法,38.60
Python测试之道,47.10
Python数据分析,43.70
从零开始学Python程序设计,65.20
正版包邮 从零开始学Python网络爬虫,40.20
流畅的Python+Python大战机器学习+网络爬虫实战+Python机器学习 5本,310.00
Python 3.7从零开始学 全程视频教学 兄弟连教育组织编写书籍,54.60
